nombre,zona,zona_original,frecuencia_dias,ultima_visita,visitas_registradas,compras,total_comprado,saldo_pendiente,ultima_observacion,activo
LA MAMI DE DANI,CABRED,AV.CABRED,10,2026-08-17,3,2,41600.0,0.0,VISITAR PROXIMA VUELTA,1
PANADERIA LA MAMI DE DANI,CABRED,CABRED CASI URUGUAY,10,2026-08-03,1,1,17000.0,0.0,VISITAR PROXIMA VUELTA,1
RADIO ANDRES,CABRED,CABRED CASI URUGUAY,10,2026-08-04,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
SAFITA,CABRED,AV.CABRED,10,2026-08-10,1,0,0.0,0.0,PASAR MIERCOLES 12/08,1
TALLER AGAS - VECINO JUANCHO,CABRED,AV.CABRED,10,2026-08-17,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
TALLER EZEQUIEL,CABRED,CALLE MORCILLO CASI CABRED,10,2026-08-21,5,4,61750.0,13300.0,SALDO PENDIENTE,1
TALLER JUANJOSE,CABRED,CABRED CASI URUGUAY,10,2026-08-05,1,0,0.0,0.0,CONFIRMA PEDIDO,1
VETERINARIA ITATI,CABRED,CABRED CASI URUGUAY,10,2026-08-04,2,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
BICICLETERIA CHACABUCO,CHACABUCO,AV.CHACABUCO,10,2026-07-28,1,0,0.0,0.0,POCO INTERES DE COMPRAS,1
CANCHA DE FUTBOL LA TERRAZA,CHACABUCO,AV.CHACABUCO,10,2026-07-28,1,0,0.0,0.0,ME PIDIO MI NUMERO Y QUE PASE PRESUPUESTO,1
COMPRA VENTA AUTOS HUGO,CHACABUCO,AV.CHACABUCO,10,2026-07-28,1,0,0.0,0.0,ME PIDIO MI NUMERO,1
INDUSTRIA DEL POLLO,CHACABUCO,CHACABUCO,10,2026-08-03,3,2,197300.0,0.0,VISITAR PROXIMA VUELTA,1
TALLER NAVARRO,CHACABUCO,AV.CHACABUCO,10,2026-08-18,3,1,21500.0,0.0,TODAVIA CON STOCK,1
TALLER ROBERTO PERALTA,CHACABUCO,AV.CHACABUCO,10,2026-08-19,1,1,4400.0,0.0,VISITAR PROXIMA VUELTA,1
YPF CHACABUCO,CHACABUCO,AV.CHACABUCO,10,2026-07-28,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
ABERTURAS EL REY,COCOMAROLA,CALLE ESQUINA COCOMAROLA,10,2026-07-29,1,0,0.0,0.0,POCO INTERES DE COMPRA,1
FANK REPUESTOS,COCOMAROLA,AV.COCOMAROLA,10,2026-08-14,2,1,17000.0,0.0,VISITAR PROXIMA VUELTA,1
FERRETERIA Y REPUESTOS,COCOMAROLA,AV.COCOMAROLA,10,2026-07-29,1,0,0.0,0.0,PIDIO LISTA DE PRECIOS,1
FERRETERIA Y REPUESTOS SAN ROQUE,COCOMAROLA,AV.COCOMAROLA,10,2026-08-07,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
HARD REPUESTOS,COCOMAROLA,AV.COCOMAROLA,10,2026-08-07,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
HIDRAULICA SAN FRANCISCO,COCOMAROLA,AV.COCOMAROLA,10,2026-07-29,1,0,0.0,0.0,"PASAR PRECIO ,LAVAN.DETER.DESENG.BLANCO",1
MECANICA MARQUEZ,COCOMAROLA,AV.COCOMAROLA,10,2026-07-29,1,0,0.0,0.0,POCO INTERES DE COMPRA,1
MECANICA MOTOREPUESTOS,COCOMAROLA,AV.COCOMAROLA,10,2026-07-29,1,0,0.0,0.0,POCO INTERES DE COMPRA,1
NUESTRAS CARNES SRL,COCOMAROLA,AV.COCOMAROLA,10,2026-07-29,1,0,0.0,0.0,NO ME PUDIERON ATENDER,1
REPUESTOS RS,COCOMAROLA,AV.COCOMAROLA,10,2026-07-29,1,0,0.0,0.0,ME PIDIO MI NUMERO,1
VALENTINO REPUESTOS,COCOMAROLA,AV.COCOMAROLA,10,2026-08-12,2,0,0.0,0.0,QUIERE QUE LE PÁSE LISTA DE PRECIOS Y PLAZO 30 DIAS,1
VETERINARIA ESQUINA,COCOMAROLA,AV.COCOMAROLA,10,2026-07-29,1,0,0.0,0.0,ME PIDIO MI NUMERO,1
YPF COCOMAROLA,COCOMAROLA,AV.COCOMAROLA,10,2026-08-12,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
GOMERIA JUAN,COLON,COLON,10,2026-07-30,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
CARMAK,CORRIENTES,AV.CORRIENTES,10,2026-07-30,1,0,0.0,0.0,ME PIDIO MI NUMERO PARA PASAR PRECIOS,1
IMO AUTOMOVILES,CORRIENTES,AV.CORRIENTES,10,2026-07-30,1,0,0.0,0.0,ME PIDIO MI NUMERO PARA PASAR PRECIOS,1
MECANICA FABRICIO,COSTADO DE A R SERVICIO,CALLE COSTADO DE A.R SERVICIO,10,2026-08-18,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
MECANICA GABRIEL,COSTADO DE A R SERVICIO,CALLE COSTADO DE A.R SERVICIO,10,2026-08-18,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
TALLER EL TANO,COSTADO DEL TERRITORIO,CALLE COSTADO DEL TERRITORIO,10,2026-08-07,1,0,0.0,0.0,VISITAR LA PROXIMA VUELTA,1
MARCELO FUCHI,COSTADO FJW,CALLE COSTADO FJW,10,2026-07-30,1,1,13700.0,0.0,VISITAR PROXIMA VUELTA,1
DETAILING NICOLAS,COSTADO PLACITA,CALLE COSTADO PLACITA,10,2026-08-07,1,0,0.0,0.0,ESCRIBI AL CLIENTE Y NO ME RESPONDIO,1
TALLER MECANICO DAVID,DE ABERTURA EL REY,CALLE DE ABERTURA EL REY,10,2026-07-29,1,0,0.0,0.0,ME PASARON NUMERO PARA QUE ENVIE PRECIOS,1
HOTEL JULIO CESAR,ENTRE RIOS,ENTRE RIOS,10,2026-07-30,1,0,0.0,0.0,ME PIDIO MI NUMERO PARA PASAR PRECIOS,1
LAVADERO SEBA PEREZ,ENTRE RIOS,ENTRE RIOS,10,2026-07-30,1,0,0.0,0.0,POCO INTERES DE COMPRA,1
LUBRICENTRO PEDRO PERELLI,ENTRE RIOS,ENTRE RIOS,10,2026-07-30,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
ROTISERIA CENTRAL PIZZA,ENTRE RIOS,ENTRE RIOS,10,2026-07-30,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
CARNICERIA A LADO DE AVA,EVA PERON,AV.EVA PERON,10,2026-08-11,1,0,0.0,0.0,MANDE MENSAJE PERO NO RESPONDIERON,1
CARNICERIA AVA,EVA PERON,AV.EVA PERON,10,2026-08-11,2,1,17000.0,0.0,NO LE GUSTO NUESTRO PRODUCTO,1
FERRETERIA EL TREBOL,EVA PERON,EVA PERON,10,2026-07-31,1,0,0.0,0.0,ME PASARON NUMERO PARA QUE ENVIE PRECIOS,1
TALLER HENKES,EVA PERON,AV.EVA PERON,10,2026-08-18,1,0,0.0,0.0,"NO ESTABA EL ENCARGADO,VISITAR PROXIMA VUELTA",1
CARNICERIA DON ALEJO,FCO DE ARO,AV.FCO DE ARO,10,2026-08-11,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
CARNICERIA Y VERDULERIA - TETO,FCO DE ARO,FCO DE ARO Y BUSTAMANTE,10,2026-08-14,1,0,0.0,0.0,PASAR POR LA TARDE,1
CONSECIONARIO GRAND PRIX,FCO DE ARO,FCO DE ARO,10,2026-07-28,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
HOTEL FCO DE ARO,FCO DE ARO,FRANCISCO DE ARO,10,2026-07-27,1,0,0.0,0.0,"TRABAJAN CON ALQUIMIA,ME PIDIO MI NUMERO",1
LUBRICENTRO SIMOVIL,FCO DE ARO,FRANCISCO DE ARO,10,2026-07-27,1,0,0.0,0.0,ESTAN CERRANDO,1
RADIO ANDRES FCO DE ARO,FCO DE ARO,FRANCISCO DE ARO,10,2026-07-27,1,0,0.0,0.0,VISITAR EN CABRED,1
ROTISERIA LA ESQUINA,FCO DE ARO,FCO DE ARO Y CABRED,10,2026-07-28,1,0,0.0,0.0,ME PASARON NUMERO PARA QUE ENVIE PRECIOS,1
SUPERMERCADO SUPER FRANCISCO,FCO DE ARO,FRANCISCO DE ARO,10,2026-07-27,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
TALLER MAZZUCHINI,FCO DE ARO,FRANCISCO DE ARO,10,2026-07-27,1,0,0.0,0.0,"ESTAN INTERESADOS EN COMPRAR ,DEJAR MUESTRAS",1
TALLER RAUL,FCO DE ARO,FRANCISCO DE ARO,10,2026-07-27,1,1,12000.0,0.0,POCO INTERES DE COMPRAS,1
TALLER TOTI,FCO DE ARO,AV.FCO DE ARO,10,2026-08-18,3,2,33000.0,0.0,VISITAR PROXIMA VUELTA,1
TALLER YAPEYU,FCO DE ARO,FRANCISCO DE ARO,10,2026-07-27,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
TALLER YOU,FCO DE ARO,AV.FCO DE ARO,10,2026-08-22,3,2,33000.0,17000.0,SALDO PENDIENTE,1
TALLER YOU SUSPENSIONES,FCO DE ARO,FCO DE ARO,10,2026-07-28,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
TAPICERIA GONZALEZ,FCO DE ARO,FCO DE ARO Y CALLE 122,10,2026-07-27,1,0,0.0,0.0,POCO INTERES DE COMPRAS,1
VETERINARIA ANIMAL WORK,FCO DE ARO,FRANCISCO DE ARO,10,2026-07-27,1,0,0.0,0.0,VISITAR EN AV TACUARI DE 08 A 14,1
TALLER MONTIEL,FRANCIA,CALLE FRANCIA,10,2026-08-21,1,1,11400.0,0.0,VISITAR PROXIMA VUELTA,1
CRUCERO DEL NORTE,GARUPA,GARUPA,10,2026-08-20,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
DIEGO TOHT,GARUPA,GARUPA,10,2026-08-20,2,1,152500.0,0.0,VISITAR PROXIMA VUELTA,1
FERRETERIA SANDRA,GARUPA,GARUPA,10,2026-08-20,2,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
GYM ESQUINA,GARUPA,GARUPA,10,2026-08-03,1,0,0.0,0.0,ME PASARON NUMERO PARA ENVIAR LISTA DE PRECIOS,1
MECANICA WALTER,GARUPA,GARUPA,10,2026-08-20,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
TALLER BOSH,HERRERA,HERRERA,10,2026-07-28,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
TALLER MIERES,HERRERA,CALLE HERRERA,10,2026-08-11,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
BUTIQUE EMA,ITAEMBE GUAZU,ITAEMBE GUAZU,10,2026-08-04,1,0,0.0,0.0,SIN INTERES DE COMPRA,1
CANCHA FUTBOL 5 EL TEMPLO,ITAEMBE GUAZU,ITAEMBE GUAZU,10,2026-08-06,1,1,88300.0,0.0,VISITAR PROXIMA VUELTA,1
FERRETERIA PICO Y PALA,ITAEMBE GUAZU,ITAEMBE GUAZU,10,2026-08-04,1,0,0.0,0.0,INTERESADOS EN LISTA DE PRECIO,1
LOCAL EMA,ITAEMBE GUAZU,ITAEMBE GUAZU,10,2026-08-04,1,0,0.0,0.0,SIN INTERES DE COMPRA,1
LUBRICENTRO GARUPA DE I.GUAZU,ITAEMBE GUAZU,ITAEMBE GUAZU,10,2026-08-04,1,0,0.0,0.0,INTERESADOS EN MEKASIL Y BB POR 20,1
LUBRICENTRO ITAEMBE GUAZU,ITAEMBE GUAZU,ITAEMBE GUAZU,10,2026-08-04,1,0,0.0,0.0,SIN INTERES DE COMPRA,1
PANADERIA THIAGO,ITAEMBE GUAZU,ITAEMBE GUAZU,10,2026-08-04,1,0,0.0,0.0,"INTERESADOS ,ME PIDIERON NUMERO",1
REGALERIA EMA,ITAEMBE GUAZU,ITAEMBE GUAZU,10,2026-08-04,1,0,0.0,0.0,SIN INTERES DE COMPRA,1
SUPERMERCADO CHINO,ITAEMBE GUAZU,ITAEMBE GUAZU,10,2026-08-04,1,0,0.0,0.0,SIN INTERES DE COMPRA,1
SUPERMERCADO MAYORISTA,ITAEMBE GUAZU,ITAEMBE GUAZU,10,2026-08-04,1,0,0.0,0.0,ME PASARON NUMERO PARA ENVIAR LISTA DE PRECIOS,1
YPF COLECTORA,ITAEMBE GUAZU,ITAEMBE GUAZU,10,2026-08-04,2,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
AXION,ITAEMBE MINI,ITAEMBE MINI,10,2026-08-04,1,0,0.0,0.0,"SIN INTERES DE COMPRA,TRABAJAN CON NORDESTE",1
LAVADERO ANGEL,ITAEMBE MINI,ITAEMBE MINI,10,2026-08-14,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
LAVADERO ITAEMBE MINI,ITAEMBE MINI,ITAEMBE MINI,10,2026-08-04,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
CLUB LUZ Y FUERZA,ITUZAINGO,AV.ITUZAINGO,10,2026-07-31,1,0,0.0,0.0,ME PIDIO MI NUMERO PARA PASAR PRECIOS,1
FERRETERIA RYM,ITUZAINGO,AV.ITUZAINGO,10,2026-07-31,1,0,0.0,0.0,ME PIDIERON MI NUMERO,1
LAVADERO ESQUINA,ITUZAINGO,AV.ITUZAINGO,10,2026-07-31,1,0,0.0,0.0,SIN INTERES DE COMPRA,1
REPUESTOS PELOSO,ITUZAINGO,AV.ITUZAINGO,10,2026-08-19,4,2,34400.0,0.0,VISITAR PROXIMA VUELTA,1
ROTISERIA LO DE JUAN,ITUZAINGO,AV.ITUZAINGO,10,2026-07-31,1,1,17600.0,0.0,VISITAR PROXIMA VUELTA,1
ROTISERIA LO DE JUAN - PAOLA,ITUZAINGO,AV.ITUZAINGO,10,2026-08-17,1,0,0.0,0.0,TODAVIA CON STOCK,1
TALLER ALEJANDRO,ITUZAINGO,AV.ITUZAINGO,10,2026-08-19,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
TALLER PEDRO,ITUZAINGO,AV ITUZAINGO,10,2026-08-04,1,1,11400.0,0.0,VISITAR PROXIMA VUELTA,1
CONSECIONARIO LOS AMIGOS,JAURETCHE,AV.JAURETCHE,10,2026-07-31,1,0,0.0,0.0,ME PASARON NUMERO PARA QUE ENVIE PRECIOS,1
CRISTINA MAMA,JAURETCHE,JAURETCHE Y ANDRESITO,10,2026-08-13,1,1,10400.0,0.0,ME LLAMA PARA EL PROXIMO PEDIDO,1
DARIO FERREIRA,JAURETCHE,JAURETCHE Y ANDRESITO,10,2026-08-15,1,0,0.0,0.0,ME LLAMA PARA EL PROXIMO PEDIDO,1
DESPENSA JOSELO,JAURETCHE,JAURETCHE Y ANDRESITO,10,2026-08-15,1,0,0.0,0.0,ME LLAMA PARA EL PROXIMO PEDIDO,1
LUBRICENTRO LUBRY,JAURETCHE,JAURETCHE,10,2026-07-28,1,0,0.0,0.0,POCO INTERES DE COMPRA,1
PANADERIA NUEVOS SABORES,JAURETCHE,AV.JAURETCHE,10,2026-07-31,1,0,0.0,0.0,SIN INTERES DE COMPRA,1
OPEN 24,JUJUY,JUJUY CASI CORDOBA,10,2026-08-07,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
LAVADERO WALTER,LAS HERAS,AV.LAS HERAS,10,2026-08-22,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
FERRETERIA STAR,LAVALLE,AV.LAVALLE,10,2026-08-20,3,0,0.0,0.0,"NO ESTABA EL ENCARGADO,VISITAR PROXIMA VUELTA",1
LA CASA DEL CERDO,LAVALLE,AV.LAVALLE,10,2026-08-06,1,0,0.0,0.0,TRABAJAN CON ALQUIMIA,1
LAVADERO LAVALLE,LAVALLE,AV.LAVALLE,10,2026-07-29,1,0,0.0,0.0,ME PIDIERON MI NUMERO,1
GYM A LADO IMPERIUM,LOPEZ Y PLANES,AV.LOPEZ Y PLANES,10,2026-08-13,1,0,0.0,0.0,PASAR POR LA MAÑANA,1
GYM IMPERIUM,LOPEZ Y PLANES,AV.LOPEZ Y PLANES,10,2026-08-21,4,4,274600.0,0.0,VISITAR PROXIMA VUELTA,1
LAVADERO HUGO,LOPEZ Y PLANES,AV.LOPEZ Y PLANES,10,2026-08-17,3,1,50000.0,0.0,CERRADO,1
LAVADERO PARANA,LOPEZ Y PLANES,LOPEZ Y PLANES,10,2026-07-27,1,0,0.0,0.0,PIDIO PRESUPUESTO DE MEKA Y BB POR 20,1
PUNTO CARNICERIA,LOPEZ Y PLANES,LOPEZ Y PLANES,10,2026-08-03,1,1,88200.0,0.0,VISITAR PROXIMA VUELTA,1
REPOSICIONES,LOPEZ Y PLANES,AV.LOPEZ Y PLANES,10,2026-08-15,1,0,0.0,0.0,PASAR POR LA TARDE POR GARUPA,1
RESTAURANTE BISTRO,LOPEZ Y PLANES,LOPEZ Y PLANES,10,2026-07-29,1,0,0.0,0.0,VISITAR POR LA MAÑANA,1
RESTAURANTE MENDIETA,LOPEZ Y PLANES,LOPEZ Y PLANES,10,2026-07-29,1,0,0.0,0.0,VISITAR POR LA MAÑANA,1
TALLER EL GALLEGO,LOPEZ Y PLANES,CALLE PARALELA A L.YPLANES,10,2026-08-17,3,1,21500.0,0.0,TODAVIA CON STOCK,1
YPF ROCAMORA,LOPEZ Y PLANES,AV.LOPEZ Y PLANES,10,2026-08-19,5,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
CANCHA DE PADEL,MAIPU,AV.MAIPU,10,2026-07-28,1,0,0.0,0.0,ME PASARON NUMERO PARA QUE ENVIE PRECIOS,1
EMBRAGUES DA-GAR,MAIPU,AV.MAIPU,10,2026-08-10,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
CONSUMIDOR FINAL,MARCONI,MARCONI,10,2026-08-21,2,2,90700.0,0.0,ME LLAMA PARA EL PROXIMO PEDIDO,1
CARNICERIA GRANJA ISABEL,MARTIN FIERRO,AV.MARTIN FIERRO,10,2026-08-19,1,0,0.0,0.0,PASA PRESUPUESTO,1
CLUB MITRE,MARTIN FIERRO,AV.MARTIN FIERRO,10,2026-07-29,1,0,0.0,0.0,ME PASARON NUMERO PARA QUE ENVIE PRECIOS,1
INYECAR,MARTIN FIERRO,MARTIN FIERRO,10,2026-07-31,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
KIOSKO,MARTIN FIERRO,MARTIN FIERRO,10,2026-07-31,1,0,0.0,0.0,ME PIDIO MI NUMERO PARA PASAR PRECIOS,1
LAVADERO DEIVI,MARTIN FIERRO,MARTIN FIERRO,10,2026-08-05,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
LAVADERO STYLE,MARTIN FIERRO,MARTIN FIERRO,10,2026-07-28,1,0,0.0,0.0,"POCO INTERES DE COMPRAS,YA TIENE PROVEEDOR",1
PILATES,MARTIN FIERRO,MARTIN FIERRO,10,2026-07-31,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
SUSPENSIONES FUCHI,MAZZA,AV.MAZZA,10,2026-08-07,1,1,14900.0,0.0,VISITAR LA PROXIMA,1
A.R SERVICIOS,MONSENOR DE ANDREA,AV.MONSENOR DE ANDREA,10,2026-08-18,1,1,44300.0,0.0,VISITAR PROXIMA VUELTA,1
CANCHA FUTBOL 5 ACTIVATE,MONSENOR DE ANDREA,AV.MONSENOR DE ANDREA,10,2026-08-19,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
GYM ACTIVATE,MONSENOR DE ANDREA,AV.MONSENOR DE ANDREA,10,2026-08-19,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
TALLER MARQUITOS,MONSENOR DE ANDREA,AV.MONSENOR DE ANDREA,10,2026-08-19,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
BOUTIQUE SALUDABLE,MONTEAGUDO,AV MONTEAGUDO,10,2026-08-04,1,0,0.0,0.0,SIN INTERES DE COMPRA,1
